col_id,id,likes_count,from_id,from_name,message,created_time,type,link,comments_count,shares_count,love_count,haha_count,wow_count,sad_count,angry_count,datetime,month,like_button,positive_reaction
60,184377348315163_1367871633299056,206,184e12,Ford UK,Adventurous by nature. All-New Ford Fiesta,2017-07-09T10:24:48Z,photo,https://www.facebook.com/forduk/photos/a.206936006059297.51708.184377348315163/1367871633299056/?type=3,48,14,4,2,0,0,0,2017-07-09T10:24:48Z,2017-07,212,6
61,184377348315163_1368756643210555,575,184e12,Ford UK,Your All-New #FordFiesta,2017-07-10T09:43:29Z,photo,https://www.facebook.com/forduk/photos/a.206936006059297.51708.184377348315163/1368756643210555/?type=3,156,66,37,4,9,16,7,2017-07-10T09:43:29Z,2017-07,648,50
62,184377348315163_1369814359771450,26,184e12,Ford UK,It’s not all about the bikes. The Team Sky cyclists on two wheels rely on a convoy of support vehicles from Ford UK that transport everything from tools to clothes to food and drinks – and more bikes.,2017-07-11T11:39:39Z,link,http://social.ford.co.uk/tackling-the-tour-de-france-on-four-wheels/,6,3,0,1,0,0,0,2017-07-11T11:39:39Z,2017-07,27,1
63,184377348315163_1370680316351521,564,184e12,Ford UK,"The best music to drive to? Ford, VICE and Spotify have done the research. More: https://partners.vice.com/ford-scienceofsound/uk/news/exploring-the-science-of-sound/",2017-07-12T10:10:38Z,video,https://www.facebook.com/forduk/videos/1370680316351521/,75,169,22,0,9,0,0,2017-07-12T10:10:38Z,2017-07,595,31
64,184377348315163_1371069989645887,87,184e12,Ford UK,"Chris Froome remains in the overall lead of Le Tour de France after Stage 11, but we take a look at what we don't know about the Team Sky cyclists...",2017-07-12T16:02:27Z,video,https://www.facebook.com/forduk/videos/1371069989645887/,4,2,4,3,0,0,0,2017-07-12T16:02:27Z,2017-07,94,7
65,184377348315163_1373039336115619,259,184e12,Ford UK,Best of luck to the our Ford Performance #66 and #67 drivers racing 6 Hours of Nürburgring today.,2017-07-16T09:00:00Z,photo,https://www.facebook.com/forduk/photos/a.206936006059297.51708.184377348315163/1373039336115619/?type=3,7,12,13,0,4,0,0,2017-07-16T09:00:00Z,2017-07,276,17
66,184377348315163_1376203459132540,45,184e12,Ford UK,"Hello, on World Emoji Day we want to remind you to always enjoy your emoji's but please never Emoji and Drive.",2017-07-17T12:45:40Z,video,https://www.facebook.com/forduk/videos/1376203459132540/,7,17,2,1,0,0,0,2017-07-17T12:45:40Z,2017-07,48,3
67,184377348315163_1377221009030785,75,184e12,Ford UK,"It's the last week of Le Tour de France, and Team Sky final rest day. What better to do than get the TV on...",2017-07-18T12:41:41Z,video,https://www.facebook.com/forduk/videos/1377221009030785/,5,2,2,2,0,0,0,2017-07-18T12:41:41Z,2017-07,79,4
68,184377348315163_1377428632343356,82,184e12,Ford UK,Have your Ford Credit account at your fingertips with FordPass. Download today at www.fordpass.co.uk,2017-07-18T16:44:10Z,photo,https://www.facebook.com/forduk/photos/a.206936006059297.51708.184377348315163/1377428632343356/?type=3,4,9,1,0,0,0,0,2017-07-18T16:44:10Z,2017-07,83,1
69,184377348315163_1379340532152166,903,184e12,Ford UK,Watch out for an exclusive first viewing of our All-New Ford Fiesta film this Friday.,2017-07-20T15:28:35Z,photo,https://www.facebook.com/forduk/photos/a.206936006059297.51708.184377348315163/1379340532152166/?type=3,88,67,61,0,8,1,0,2017-07-20T15:28:35Z,2017-07,973,69
70,184377348315163_1379346778818208,24,184e12,Ford UK,NA,2017-07-20T15:35:41Z,video,https://www.facebook.com/forduk/videos/1379346778818208/,8,6,2,0,0,0,0,2017-07-20T15:35:41Z,2017-07,26,2
